name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,game_week
Robert_Huth,0,13,0,0,0,9,0,5,8,0,0,0,173,0,0,166,0,2,0,6,9545,18.4,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,90,0,0,14,0,0,0,0,6,0,17,0,63005,0,1,0,2,2,42,0,-1757,391,2148,49,FALSE,0,1,17
Robert_Snodgrass,0,30,0,0,0,15,0,0,24,77.1,0,0,155,0,0,170,1,1,0,10.6,9527,8,5,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,90,1,0,20,0,0,0,0,6,0,17,0,225315,1,1,1,0,1,21,2,7297,14893,7596,56,FALSE,0,0,17
Rob_Holding,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,164,0,0,0,0,9856,0,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,0,0,0,10,0,0,0,0,0,0,17,0,23492,0,0,0,1,2,0,0,-389,193,582,41,FALSE,0,0,17
Romelu_Lukaku,0,33,0,0,0,2,0,1,15,5.3,1,0,143,0,0,163,1,1,0,1.3,9515,0,0,2016-12-19T20:00:00Z,12/19/19 20:00,0,0,90,0,0,9,0,0,0,0,3,0,17,0,1059534,4,0,1,1,0,8,2,-19387,24981,44368,94,TRUE,0,0,17
Ron-Robert_Zieler,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,166,0,0,0,0,9538,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,14,0,0,0,0,0,0,17,0,17767,0,0,0,2,2,0,0,-653,188,841,44,FALSE,0,0,17
Ross_Barkley,0,30,1,0,0,1,0,0,17,26,2,0,134,0,0,163,4,1,0,3.1,9506,0,2,2016-12-19T20:00:00Z,12/19/19 20:00,0,0,90,1,0,9,0,0,0,0,4,0,17,0,257284,4,0,1,1,0,5,1,-2900,1581,4481,70,TRUE,0,1,17
Rouwen_Hennings,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,168,0,0,0,0,9443,0,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,0,0,0,17,0,0,0,0,0,0,17,0,2148,0,0,0,1,2,0,0,-16,11,27,45,FALSE,0,0,17
Ruben_Loftus-Cheek,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,162,0,0,0,0,9460,0,0,2016-12-17T12:30:00Z,12/17/19 12:30,0,0,0,0,0,5,0,0,0,0,0,0,17,0,2475,0,0,0,1,0,0,0,-30,7,37,51,FALSE,0,0,17
Ryan_Allsop,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,161,0,0,0,0,9972,0,0,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,0,0,0,13,0,0,0,0,0,0,17,0,1427,0,0,0,3,1,0,0,97,155,58,40,TRUE,0,0,17
Ryan_Bertrand,0,61,0,0,0,28,0,1,53,29.9,1,0,296,0,0,161,0,1,1,10.5,9668,49.8,2,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,90,1,1,2,0,0,0,0,11,0,17,0,48750,2,1,0,3,1,25,8,1132,2225,1093,54,FALSE,0,0,17
Ryan_Fraser,0,14,0,0,0,1,0,1,12,6.3,0,0,536,0,0,161,0,1,0,1.8,9908,3.2,0,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,36,0,1,13,0,0,0,0,0,0,17,0,4988,3,0,0,3,1,8,1,-1625,356,1981,49,TRUE,0,0,17
Ryan_Mason,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,170,0,0,0,0,9768,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,20,0,0,0,0,0,0,17,0,2382,0,0,0,0,1,0,0,-69,21,90,48,FALSE,0,0,17
Ryan_Shawcross,0,47,0,0,0,11,0,4,38,0.3,0,0,318,0,0,166,2,2,0,1.6,9690,13.8,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,90,0,0,8,0,0,0,0,3,0,17,0,75440,0,0,0,2,2,2,1,-590,807,1397,49,TRUE,0,0,17
Sadio_Man�,0,41,0,0,2,30,1,0,30,17.7,2,0,212,0,0,163,1,0,1,9.9,9584,38.4,1,2016-12-19T20:00:00Z,12/19/19 20:00,0,0,90,0,0,6,0,0,0,0,5,0,17,0,870758,4,1,0,1,0,43,10,-2332,33881,36213,94,FALSE,1,0,17
Saido_Berahino,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,169,0,0,0,0,9820,0,0,2016-12-17T17:30:00Z,12/17/19 17:30,0,0,0,0,0,11,0,0,0,0,0,0,17,0,17905,0,0,0,2,0,0,0,-150,63,213,60,TRUE,0,0,17
