name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,game_week
Aaron_Cresswell,0,33,1,0,0,17,0,5,25,26.8,1,0,454,0,0,217,0,1,0,4.8,12937,15.6,2,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,90,0,1,12,0,0,0,0,6,0,22,0,18790,2,0,0,3,1,6,2,164,1157,993,53,FALSE,0,0,22
Aaron_Lennon,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,214,0,0,0,0,12625,0,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,0,0,0,5,0,0,0,0,0,0,22,0,8579,0,0,0,1,0,0,0,-252,118,370,55,FALSE,0,0,22
Aaron_Ramsey,0,79,0,0,0,17,0,1,72,31.3,5,0,16,0,0,211,0,1,0,10.8,12499,17.2,2,2017-01-22T14:15:00Z,1/22/19 14:15,0,0,90,0,1,3,0,0,0,0,7,0,22,0,42207,4,0,1,1,2,59,2,1,806,805,76,TRUE,0,0,22
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,214,0,0,0,0,13095,0,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,0,0,0,6,0,0,0,0,0,0,22,0,96,0,0,0,1,0,0,0,-1,6,7,45,TRUE,0,0,22
Abdoulaye_Doucour�,0,39,0,0,0,17,0,7,33,1.5,0,0,482,0,0,212,1,2,0,0.4,12965,0,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,87,0,0,2,0,0,0,0,19,0,22,0,746,0,0,1,2,2,3,2,11,31,20,46,FALSE,0,0,22
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,213,0,0,0,0,12563,0,0,2017-01-22T16:30:00Z,1/22/19 16:30,0,0,0,0,0,7,0,0,0,0,0,0,22,0,1312,0,0,0,0,2,0,0,-15,14,29,55,TRUE,0,0,22
Abel_Hern�ndez,0,12,0,0,0,3,0,0,8,24.3,0,0,163,0,0,213,2,1,0,3.4,12646,1.2,2,2017-01-22T16:30:00Z,1/22/19 16:30,0,0,74,0,0,4,0,0,0,0,0,0,22,0,41853,3,0,0,0,2,8,2,7082,8368,1286,59,FALSE,0,0,22
Adama_Diomande,0,6,0,0,0,3,0,1,4,0.4,0,0,164,0,0,213,0,1,0,0.3,12647,0.2,0,2017-01-22T16:30:00Z,1/22/19 16:30,0,0,16,0,0,4,0,0,0,0,0,0,22,0,234956,0,0,0,0,2,2,1,-1497,12933,14430,45,FALSE,0,0,22
Adama_Traor�,0,36,0,0,0,19,0,0,26,35.5,11,0,563,0,0,217,0,3,0,6.8,13046,24,2,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,90,0,3,20,0,0,0,0,6,0,22,0,8566,9,1,0,3,1,8,2,-1225,542,1767,48,TRUE,0,0,22
Adam_Clayton,0,74,0,0,0,19,0,2,62,13.6,0,0,283,0,0,217,0,3,0,2.9,12766,13.6,1,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,90,0,0,20,0,0,0,0,15,0,22,0,42271,2,2,0,3,1,2,2,-825,3471,4296,43,TRUE,0,0,22
Adam_Federici,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,212,0,0,0,0,12513,0,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,0,0,0,18,0,0,0,0,0,0,22,0,5240,0,0,0,2,2,0,0,-55,56,111,44,TRUE,0,0,22
Adam_Forshaw,0,39,0,0,0,8,0,0,34,20.2,0,0,286,0,0,217,1,2,0,2.6,12769,1,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,82,1,0,20,0,0,0,0,3,0,22,0,37087,0,0,1,3,1,5,2,2319,6303,3984,45,TRUE,0,0,22
Adam_Lallana,0,53,0,0,0,10,0,0,40,17.3,2,0,205,0,0,215,0,3,0,4.4,12688,4.6,1,2017-01-21T12:30:00Z,1/21/19 12:30,0,0,90,0,0,16,0,0,0,0,6,0,22,0,1184762,1,0,2,3,2,22,2,-8337,70338,78675,77,TRUE,0,0,22
Adam_Matthews,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,220,0,0,0,0,12828,0,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,0,0,0,19,0,0,0,0,0,0,22,0,1039,0,0,0,0,2,0,0,-13,10,23,40,FALSE,0,0,22
Adam_Reach,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,217,0,0,0,0,12768,0,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,0,0,0,20,0,0,0,0,0,0,22,0,1042,0,0,0,3,1,0,0,-14,2,16,44,TRUE,0,0,22
Adam_Smith,1,69,1,0,2,26,0,4,52,16.1,2,0,34,0,0,212,0,2,0,5.4,12517,33.6,1,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,90,0,0,18,0,0,0,0,6,0,22,0,343657,1,0,0,2,2,4,6,-20695,5069,25764,47,TRUE,0,0,22
Ademola_Lookman,0,5,0,0,0,3,0,1,5,1.5,1,0,627,0,0,214,1,0,0,2.2,13110,5.2,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,19,0,0,5,0,0,0,0,0,0,22,0,3523,0,0,0,1,0,15,1,3021,3381,360,55,FALSE,0,0,22
Adl�ne_Gu�dioura,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,212,0,0,0,0,12898,0,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,0,0,0,2,0,0,0,0,0,0,22,0,3542,0,0,0,2,2,0,0,-241,43,284,43,FALSE,0,0,22
Adnan_Januzaj,0,14,0,0,0,4,0,0,10,7.8,2,0,261,0,0,220,1,2,0,1.4,12744,2,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,65,0,1,19,0,0,0,0,3,0,22,0,22170,5,0,0,0,2,4,2,-403,259,662,53,FALSE,0,0,22
Adrian_Mariappa,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,212,0,0,0,0,13039,0,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,0,0,0,2,0,0,0,0,0,0,22,0,12593,0,0,0,2,2,0,0,-730,43,773,40,FALSE,0,0,22
Adri�n_San Miguel del Castillo,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,217,0,0,0,0,12933,0,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,0,0,0,12,0,0,0,0,0,0,22,0,79027,0,0,0,3,1,0,0,-1875,91,1966,47,FALSE,0,0,22
Ahmed_Elmohamady,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,213,0,0,0,0,12641,0,0,2017-01-22T16:30:00Z,1/22/19 16:30,0,0,0,0,0,4,0,0,0,0,0,0,22,0,9091,0,0,0,0,2,0,0,-256,36,292,47,FALSE,0,0,22
Ahmed_Musa,0,7,0,0,0,3,0,0,5,5.8,1,0,187,0,0,218,1,1,0,0.8,12670,2,0,2017-01-22T12:00:00Z,1/22/19 12:00,0,0,28,0,1,13,0,0,0,0,1,0,22,0,139558,1,0,0,0,3,0,1,-866,729,1595,69,FALSE,0,0,22
Aiden_O'Neill,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,211,0,0,0,0,13014,0,0,2017-01-22T14:15:00Z,1/22/19 14:15,0,0,0,0,0,1,0,0,0,0,0,0,22,0,1477,0,0,0,1,2,0,0,-1,46,47,43,FALSE,0,0,22
Ainsley_Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,211,0,0,0,0,13076,0,0,2017-01-22T14:15:00Z,1/22/19 14:15,0,0,0,0,0,3,0,0,0,0,0,0,22,0,144,0,0,0,1,2,0,0,1,8,7,45,TRUE,0,0,22
Alberto_Moreno,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,215,0,0,0,0,12675,0,0,2017-01-21T12:30:00Z,1/21/19 12:30,0,0,0,0,0,16,0,0,0,0,0,0,22,0,67260,0,0,0,3,2,0,0,-564,326,890,44,TRUE,0,0,22
Albert_Adomah,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,217,0,0,0,0,12764,0,0,2017-01-21T15:00:00Z,1/21/19 15:00,0,0,0,0,0,20,0,0,0,0,0,0,22,0,1342,0,0,0,3,1,0,0,-5,10,15,54,TRUE,0,0,22
