name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,game_week
Aaron_Cresswell,0,58,0,0,0,16,0,3,47,3.8,1,0,454,0,0,270,0,2,0,4.1,16089,18.8,0,2017-03-06T20:00:00Z,3/6/19 20:00,0,0,90,0,0,4,0,0,0,0,7,0,27,0,16427,0,1,0,2,1,18,1,-221,390,611,52,TRUE,0,0,27
Aaron_Lennon,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,267,0,0,0,0,15728,0,0,2017-03-05T13:30:00Z,3/5/19 13:30,0,0,0,0,0,17,0,0,0,0,0,0,27,0,8563,0,0,0,2,3,0,0,-63,33,96,55,FALSE,0,0,27
Aaron_Ramsey,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,262,0,0,0,0,15601,0,0,2017-03-04T17:30:00Z,3/4/19 17:30,0,0,0,0,0,9,0,0,0,0,0,0,27,0,39029,0,0,0,1,3,0,0,-92,56,148,76,FALSE,0,0,27
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,269,0,0,0,0,16258,0,0,2017-03-04T15:00:00Z,3/4/19 15:00,0,0,0,0,0,19,0,0,0,0,0,0,27,0,144,0,0,0,2,0,0,0,4,9,5,45,FALSE,0,0,27
Abdoulaye_Doucour�,0,2,0,0,0,21,0,0,1,0,0,0,482,0,0,268,0,0,1,6.6,16117,33,0,2017-03-04T15:00:00Z,3/4/19 15:00,0,0,2,0,0,13,0,0,0,0,1,0,27,0,743,0,0,0,4,3,33,6,-7,5,12,46,TRUE,0,0,27
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,270,0,0,0,0,15665,0,0,2017-03-06T20:00:00Z,3/6/19 20:00,0,0,0,0,0,20,0,0,0,0,0,0,27,0,1429,0,0,0,2,1,0,0,-3,6,9,55,FALSE,0,0,27
Abel_Hern�ndez,0,7,0,0,0,3,0,0,5,11.7,0,0,163,0,0,261,1,1,0,1.3,15749,1.2,1,2017-03-04T15:00:00Z,3/4/19 15:00,0,0,23,0,0,8,0,0,0,0,1,0,27,0,38589,0,0,0,1,3,0,1,-659,823,1482,59,FALSE,0,0,27
Adama_Diomande,0,6,0,0,0,1,0,0,5,0.8,0,0,164,0,0,261,0,1,0,0.4,15750,0,0,2017-03-04T15:00:00Z,3/4/19 15:00,0,0,13,0,0,8,0,0,0,0,1,0,27,0,195454,2,0,0,1,3,4,1,-3021,5966,8987,45,FALSE,0,0,27
Adama_Traor�,0,17,0,0,0,5,0,1,12,15.2,5,0,563,0,0,264,4,2,0,2.9,16205,11.8,1,2017-03-04T15:00:00Z,3/4/19 15:00,0,0,90,1,1,14,0,0,0,0,5,0,27,0,8117,8,2,0,0,2,2,2,-545,180,725,48,FALSE,0,0,27
Adam_Clayton,0,62,0,0,0,20,0,3,57,14.3,0,0,283,0,0,264,1,2,0,2.9,15894,14.8,1,2017-03-04T15:00:00Z,3/4/19 15:00,0,0,90,0,0,14,0,0,0,0,12,0,27,0,46166,1,2,0,0,2,0,2,-911,1849,2760,43,FALSE,0,0,27
Adam_Federici,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,263,0,0,0,0,15615,0,0,2017-03-04T12:30:00Z,3/4/19 12:30,0,0,0,0,0,11,0,0,0,0,0,0,27,0,4852,0,0,0,1,1,0,0,-90,15,105,44,FALSE,0,0,27
Adam_Forshaw,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,264,0,0,0,0,15897,0,0,2017-03-04T15:00:00Z,3/4/19 15:00,0,0,0,0,0,14,0,0,0,0,0,0,27,0,29985,0,0,0,0,2,0,0,-1059,1180,2239,45,FALSE,0,0,27
Adam_Lallana,0,57,0,0,0,17,0,2,44,19.7,2,0,205,0,0,262,0,1,0,3.9,15792,8.8,1,2017-03-04T17:30:00Z,3/4/19 17:30,0,0,90,1,0,1,0,0,0,0,8,0,27,0,645120,0,2,0,1,3,10,2,-47163,16461,63624,71,TRUE,0,0,27
Adam_Matthews,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,265,0,0,0,0,15979,0,0,2017-03-05T16:00:00Z,3/5/19 16:00,0,0,0,0,0,10,0,0,0,0,0,0,27,0,1001,0,0,0,2,0,0,0,-7,3,10,40,TRUE,0,0,27
Adam_Reach,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,264,0,0,0,0,15896,0,0,2017-03-04T15:00:00Z,3/4/19 15:00,0,0,0,0,0,14,0,0,0,0,0,0,27,0,1016,0,0,0,0,2,0,0,-3,2,5,44,FALSE,0,0,27
