name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,game_week
Aaron_Cresswell,0,30,0,0,0,13,0,4,23,1.9,0,0,454,0,0,110,0,1,0,2,6193,14.4,0,2016-11-05T15:00:00Z,11/5/19 15:00,0,0,90,1,0,14,0,0,0,0,3,0,11,0,15004,1,2,0,1,1,4,2,2112,2564,452,53,TRUE,0,0,11
Aaron_Lennon,0,11,0,0,0,6,0,2,11,1.6,0,0,142,0,0,104,0,1,0,0.7,5881,5.6,0,2016-11-05T17:30:00Z,11/5/19 17:30,0,0,31,0,0,4,0,0,0,0,1,0,11,0,7551,0,1,0,0,5,0,1,-171,50,221,56,FALSE,0,0,11
Aaron_Ramsey,0,17,0,0,0,2,0,2,14,2.4,0,0,16,0,0,101,0,0,0,0.5,5755,0,0,2016-11-06T12:00:00Z,11/6/19 12:00,0,0,26,0,0,17,0,0,0,0,2,0,11,0,42014,0,0,2,1,1,4,1,1987,2418,431,76,TRUE,0,0,11
Abdoulaye_Doucour�,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,107,0,0,0,0,6221,0,0,2016-11-06T14:15:00Z,11/6/19 14:15,0,0,0,0,0,9,0,0,0,0,0,0,11,0,665,0,0,0,1,6,0,0,-26,5,31,47,FALSE,0,0,11
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,104,0,0,0,0,5819,0,0,2016-11-05T17:30:00Z,11/5/19 17:30,0,0,0,0,0,6,0,0,0,0,0,0,11,0,905,0,0,0,0,5,0,0,-26,9,35,55,TRUE,0,0,11
Abel_Hern�ndez,0,2,0,0,0,3,0,0,1,0,0,0,163,0,0,105,0,1,0,0.3,5902,0,0,2016-11-06T14:15:00Z,11/6/19 14:15,0,0,8,0,0,13,0,0,0,0,1,0,11,0,59653,0,0,0,1,2,4,1,-4334,2000,6334,60,TRUE,0,0,11
Adama_Diomande,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,105,0,0,0,0,5903,0,0,2016-11-06T14:15:00Z,11/6/19 14:15,0,0,0,0,0,13,0,0,0,0,0,0,11,0,239696,0,0,0,1,2,0,0,-31633,5044,36677,46,TRUE,0,0,11
Adama_Traor�,0,18,0,0,0,14,0,2,13,16.3,9,0,563,0,0,108,2,1,0,3.1,6302,13,1,2016-11-05T15:00:00Z,11/5/19 15:00,0,0,90,0,1,10,0,0,0,0,6,0,11,0,7151,6,1,0,1,1,2,2,663,1395,732,48,FALSE,0,0,11
Adam_Clayton,0,27,0,0,0,10,0,5,21,21.3,0,0,283,0,0,108,2,1,0,4.7,6022,26,2,2016-11-05T15:00:00Z,11/5/19 15:00,0,0,90,0,0,10,0,0,0,0,7,0,11,0,21149,1,2,0,1,1,0,1,5771,7364,1593,43,FALSE,0,1,11
Adam_Federici,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,102,0,0,0,0,5769,0,0,2016-11-05T15:00:00Z,11/5/19 15:00,0,0,0,0,0,15,0,0,0,0,0,0,11,0,4474,0,0,0,2,1,0,0,-59,57,116,44,TRUE,0,0,11
Adam_Forshaw,0,17,0,0,0,7,0,1,14,2.8,0,0,286,0,0,108,1,1,0,2.6,6025,4,0,2016-11-05T15:00:00Z,11/5/19 15:00,0,0,90,0,0,10,0,0,0,0,3,0,11,0,5200,2,3,0,1,1,19,1,892,1337,445,45,FALSE,0,1,11
Adam_Lallana,2,39,2,0,3,50,1,1,34,61.6,1,0,205,0,0,107,0,0,0,12.2,5944,52.6,4,2016-11-06T14:15:00Z,11/6/19 14:15,0,0,70,0,4,18,0,0,0,0,12,0,11,0,451164,1,2,0,1,6,8,12,-12508,31890,44398,71,TRUE,0,0,11
Adam_Matthews,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,102,0,0,0,0,6084,0,0,2016-11-05T15:00:00Z,11/5/19 15:00,0,0,0,0,0,2,0,0,0,0,0,0,11,0,1148,0,0,0,2,1,0,0,-16,28,44,40,FALSE,0,0,11
Adam_Reach,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,108,0,0,0,0,6024,0,0,2016-11-05T15:00:00Z,11/5/19 15:00,0,0,0,0,0,10,0,0,0,0,0,0,11,0,1233,0,0,0,1,1,0,0,-44,2,46,44,FALSE,0,0,11
Adam_Smith,1,55,1,0,0,23,0,3,44,24.1,2,0,34,0,0,102,3,2,0,5.6,5773,26.2,1,2016-11-05T15:00:00Z,11/5/19 15:00,0,0,90,0,2,15,0,1,0,0,5,0,11,0,547741,1,2,0,2,1,6,3,11036,25366,14330,48,TRUE,0,1,11
Adl�ne_Gu�dioura,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,107,0,0,0,0,6154,0,0,2016-11-06T14:15:00Z,11/6/19 14:15,0,0,0,0,0,9,0,0,0,0,0,0,11,0,3450,0,0,0,1,6,0,0,-128,68,196,44,FALSE,0,0,11
